체명,No,브랜드,주요메뉴 ,구분,진출국가,총점포수
CJ푸드빌,1,비비고,"한식,면요리",한식,"미국(4), 베트남(1), 싱가포르(3), 영국(1), 일본(7), 중국(6)",22
CJ푸드빌,2,뚜레쥬르,제빵,비한식,"말레이시아(3), 미국(23), 베트남(25), 인도네시아(9), 중국(25), 캄보디아(3), 필리핀(9)",97
CJ푸드빌,3,CJ푸드월드,복합외식,비한식,중국(1),1
CJ푸드빌,4,빕스,뷔페,비한식,중국(1),1
CJ푸드빌,5,투썸플레이스,커피,비한식,중국(6),6
㈜대대에프씨,6,꿀닭,닭갈비,한식,"중국(7), 싱가포르(3)",10
㈜대대에프씨,7,바비큐보스치킨,치킨,비한식,"싱가포르(1), 인도네시아(1), 중국(17)",19
㈜정성본,8,애강산,한식,한식,중국(3),3
㈜정성본,9,만커피,"커피, 디저트",비한식,중국(60),60
㈜더본코리아,10,소본가,고기,한식,중국(4),4
㈜더본코리아,11,백's비빔밥,비빔밥,한식,중국(1),1
㈜더본코리아,12,새마을식당,삼겹살,한식,"일본(1), 중국(1)",2
㈜더본코리아,13,본가,우삼겹,한식,"말레이시아(1), 싱가포르(2), 인도네시아(2), 중국(10)",15
㈜더본코리아,14,백씨양생탕,한식,한식,중국(1),1
㈜더본코리아,15,홍콩반점0410,짬뽕,비한식,미국(5),5
(주)JBSD,16,LA북창동순두부,순두부,한식,"대만(3), 미국(1), 일본(1), 중국(1), 태국(1)",7
(주)대호가,17,죽이야기,죽,한식,"미국(1), 중국(18)",19
(주)맛깔,18,맛깔참죽,죽,한식,"미국(1), 필리핀(1)",2
(주)신촌푸드,19,신촌설렁탕,설렁탕,한식,"미국(2), 중국(1)",3
(주)에스에프이노베이션,20,스쿨푸드,분식,한식,"미국(1), 인도네시아(1), 일본(1)",3
(주)오모리,21,오모리찌개,김치찌개,한식,미국(1),1
SG푸드시스템,22,소공동뚝배기집,"순두부,찌개류 ",한식,"미국(1), 일본(1), 중국(1), 홍콩(1)",4
놀부,23,항아리갈비,갈비,한식,"싱가포르(3), 중국(2), 태국(1)",6
다쥔,24,꼬지와친구들,닭꼬치,한식,"말레이시아(1), 싱가포르(1), 인도네시아(2)",4
더컵,25,더컵,라이스,한식,말레이시아(1),1
바이올푸드,26,유가네닭갈비,닭갈비,한식,"중국(1), 인도네시아(1)",2
벽제외식산업개발,27,벽제갈비,"생등심,갈비냉면 ",한식,중국(1),1
,28,봉피양,"생등심,갈비냉면 ",한식,중국(3),3
봉추,29,봉추찜닭,찜닭,한식,"베트남(1), 일본(1)",2
용수산,30,용수산,한식,한식,미국(1),1
우래옥,31,우래옥,평양냉면,한식,미국(2),2
원앤원주식회사,32,원할머니보쌈,"보쌈, 족발",한식,중국(3),3
육칠팔,33,백정,삼겹살,한식,"미국(4), 필리핀(1), 호주(1)",6
자하문,34,자하문,한정식,한식,중국(5),5
㈜김가네,35,김가네김밥,분식,한식,중국(3),3
㈜디딤푸드,36,신마포갈매기,갈매기살,한식,"중국(14), 태국(1)",15
㈜명동,37,명동칼국수샤브샤브,"칼국수,샤브샤브 ",한식,"베트남(1), 중국(8), 캐나다(1)",10
㈜미라지식품,38,남가네설악추어탕,추어탕,한식,"인도네시아(2), 중국(5), 베트남(1)",8
㈜바인에프씨,39,쉐프의국수전,국수,한식,"필리핀(4), 홍콩(1)",5
㈜본아이에프,40,본죽,죽,한식,"말레이시아(1), 미국(3), 베트남(1), 일본(3), 중국(1)",9
㈜빅바이트에프엔비,41,먹쉬돈나,떡볶이,한식,중국(5),5
㈜서래스터,42,서래갈매기,육류 구이,한식,"인도네시아(1), 중국(1)",2
㈜오투스페이스,43,아딸떡볶이,분식,한식,중국(2),2
㈜위두,44,꽁돈,삼겹살,한식,"베트남(1), 싱가포르(5)",6
㈜이티앤제우스,45,불고기브라더스,불고기,한식,"말레이시아(4), 인도네시아(1), 캐나다(1), 필리핀(5)",11
㈜일미리,46,일미리금계찜닭,찜닭,한식,중국(1),1
㈜참이맛,47,참이맛감자탕,감자탕,한식,"일본(1), 중국(14)",15
㈜토성에프시,48,옛골토성,오리,한식,"인도네시아(1), 중국(2)",3
㈜티비비씨,49,코리안숯불닭바베큐,닭바베큐,한식,미국(1),1
㈜팔색푸드매니지먼트,50,팔색삼겹살,삼겹살,한식,"호주(2), 미국(1), 일본(1)",4
㈜행복을굽는사람들,51,오발탄,양대창,한식,중국(6),6
채선당,52,채선당,샤브샤브,한식,인도네시아(1),1
춘천닭갈비영농조합,53,춘천닭갈비,닭갈비,한식,"베트남(1), 중국(1)",2
크라제한고가,54,한고가,한식,한식,"싱가포르(1), 인도네시아(1)",2
한우리외식산업,55,한우리,한식당,한식,중국(2),2
화로사랑,56,"화로사랑,청석골",구이류,한식,중국(5),5
㈜호도원,57,천안명물호도원,호두과자,한식,"중국(3), 말레이시아(1), 싱가포르(1), 미국(1)",6
(주)엔케이로지스틱스,58,임실N치즈피자,피자,비한식,중국(5),5
(주)올어바웃차,59,올어바웃차,그린티,비한식,"미국(4), 중국(1)",5
(주)한국일오삼농산,60,처갓집양념치킨,치킨,비한식,미국(13),13
sunatfood,61,매드포갈릭,"마늘, 와인",비한식,"싱가포르(2), 인도네시아(1), 필리핀(1)",4
54번가푸드컨설팅,62,피자투어,피자,비한식,"중국(10), 남아프리카공화국(1), 일본 (3), 베트남(1), 호주(1), 카자크스탄(1), 몽골(1)",18
,63,54번가닭강정앤피자,치킨,비한식,중국(2),2
교촌F&B,64,교촌치킨,치킨,비한식,"미국(7), 중국(1), 태국(1)",9
구스띠모,65,구스띠모,"젤라또, 커피",비한식,싱가포르(2),2
깜닭치킨,66,깜닭치킨,치킨,비한식,인도네시아(1),1
디파이언스,67,스페로스페라,크레페,비한식,캐나다(1),1
릴레이인터네셔널,68,레드망고,"요거트, 빙수",비한식,"UAE(2), 말레이시아(2), 미국(275), 싱가포르(3), 엘살바도르(1), 이집트(2), 인도(5), 인도네시아(5), 중국(3), 쿠웨이트(6), 태국(7), 마카오(1), 멕시코(50), 우루과이(1), 파키스탄(1), 필리핀(11), 호주(5), 홍콩(1)",381
마인츠돔,69,카페베네,"커피, 디저트",비한식,"대만(1), 말레이시아(2), 몽골(1), 미국(65), 베트남(1), 사우디아라비아(4), 싱가포르(1), 인도네시아(5), 일본(1), 중국(164), 캄보디아(1), 필리핀(5)",251
본촌치킨,70,본촌치킨,치킨,비한식,"미국(21), 필리핀(64), 싱가포르(1), 인도네시아(15), 태국(5)",106
불로만,71,불로만숯불바베큐,치킨,비한식,중국(1),1
빵굼터,72,빵굼터,수제빵,비한식,중국(1),1
엘노핌피자,73,엘노핌피자,피자,비한식,"베트남(1), 중국(3)",4
정명라인,74,본스치킨,치킨 ,비한식,"미국(5), 베트남(1), 중국(4), 호주(1)",11
㈜GKPlace,75,델리앤젤라또,커피아이스크림,비한식,중국(4),4
㈜SN인더스트리,76,꿀삐닭강정,치킨,비한식,"UAE(1), 미국(1), 중국(1), 필리핀(4)",7
㈜가르텐,77,가르텐비어,"맥주, 안주",비한식,중국(2),2
㈜그린F&B,78,치킨퐁,치킨　,비한식,인도네시아(2),2
㈜놀이터푸드시스템,79,노리터,커피,비한식,필리핀(1),1
㈜농협목우촌,80,또래오래치킨,치킨,비한식,미국(8),8
㈜델리스,81,델리만쥬,제과,비한식,미국(400),400
㈜띠아모코리아,82,카페띠아모,"젤라또, 커피",비한식,"몽골(1), 중국(2), 캄보디아(1), 필리핀(3)",7
㈜로띠번코리아,83,로띠번,로띠번,비한식,"중국(1), 일본(1)",2
㈜롯데리아,84,엔젤리너스커피,"커피, 디저트",비한식,"베트남(3), 인도네시아(3), 중국(9)",15
,85,롯데리아,버거,비한식,"베트남(150), 인도네시아(15), 중국(40)",205
